Date,Strategy_Return,SPY_Return,Fixed_Fund_Return,Strategy_Equity,SPY_Equity,Fixed_Fund_Equity,Turnover
2020-06-01,0.0,0.0,0.0,100000.0,100000.0,100000.0,0.0
2020-06-02,0.0,0.008280142722767447,0.001934984287050168,100000.0,100828.01427227675,100193.49842870502,0.0
2020-06-03,0.0,0.013308380996768898,0.005178793454007357,100000.0,102169.87190135986,100712.37986250168,0.0
2020-06-04,0.0,-0.002626654853330135,-0.002077902502630602,100000.0,101901.50691146604,100503.1093563395,0.0
2020-06-05,0.0,0.025629546295649064,0.011528899241395574,100000.0,104513.19630044987,101661.7995775557,0.0
2020-06-08,-0.0015,0.01208763742987018,0.01002115334296606,99850.0,105776.51392396654,102680.56806024429,1.0
2020-06-09,0.0,-0.007457014036920118,-0.0028065239455869477,99850.0,104987.73697485904,102392.39258723674,0.0
2020-06-10,4.98729241533713e-05,-0.0055801511344107935,-3.460247916097783e-05,99854.97981147672,104401.88953527955,102388.84955660599,0.0
2020-06-11,0.0,-0.05764852939181753,-0.030532954354497724,99854.97981147672,98383.2741378437,99262.6154866846,0.0
2020-06-12,0.0,0.0119753723003595,0.004650003720894969,99854.97981147672,99561.45047377271,99724.18701804345,0.0
2020-06-15,0.0,0.009335786785146682,0.0038797172698723623,99854.97981147672,100490.93494741581,100111.08866864133,0.0
2020-06-16,0.0,0.019247806772455522,0.008372963197254201,99854.97981147672,102425.16504566708,100949.31512970093,0.0
2020-06-17,4.987043696869087e-05,-0.004154247316665249,-0.0019983309395655013,99859.95962295342,101999.66557861713,100747.58498994932,0.0
2020-06-18,4.013095978883108e-05,0.0003851080860417522,-0.0011917447446423866,99863.96709897756,102038.946474605,100627.51958500214,0.0
2020-06-19,1.019158078974236e-05,-0.005714721276162127,0.0003372780507967185,99864.98487066625,101455.82233618942,100661.45903866425,0.0
2020-06-22,-5.0320417304572373e-05,0.006414972384707118,0.0035433049715984486,99859.95962295344,102106.65863474381,101018.1332869243,0.0
2020-06-23,0.0,0.004603759116062811,0.0034507575248178936,99859.95962295344,102576.73309524424,101366.72237050721,0.0
2020-06-24,0.0,-0.025508836541504487,-0.015229299732833438,99859.95962295344,99960.11997775613,99822.97817259183,0.0
2020-06-25,0.0,0.010720574379379011,0.0053213344099216405,99859.95962295344,101031.74987894931,100354.1696212425,0.0
2020-06-26,-4.9867950032367325e-05,-0.02375126014178275,-0.011927124169188558,99854.97981147672,98632.11850499485,99157.23297927415,0.0
