,Combined_Equity
2007-12-05,100113.33912320068
2007-12-06,100332.107399156
2007-12-07,100193.98770836316
2007-12-10,100273.58832355612
2007-12-11,100088.58667953743
2007-12-12,100233.81188353786
2007-12-13,100053.08901210959
2007-12-14,99723.14141879529
2007-12-17,99601.65488437228
2007-12-18,99757.66315617593
2007-12-19,99896.7788793193
2007-12-20,99992.32041789118
2007-12-21,100114.98458681305
2007-12-24,100200.7082164868
2007-12-26,100202.14201564895
2007-12-27,100105.06869797454
2007-12-28,100231.66367142631
2007-12-31,100176.66380200723
2008-01-02,100624.12926772238
2008-01-03,100660.58442937725
2008-01-04,100102.37249898717
2008-01-07,100006.79766343225
2008-01-08,99992.36660191338
2008-01-09,100192.47844998541
2008-01-10,100442.6402426811
2008-01-11,100400.53377999707
2008-01-14,100815.74637693318
2008-01-15,100240.07932783745
2008-01-16,99849.51174861932
2008-01-17,99475.4405537766
2008-01-18,99445.27500449555
2008-01-22,99467.37828918872
2008-01-23,99760.71760616195
2008-01-24,100169.71518387573
2008-01-25,100131.27563484974
2008-01-28,100632.37682308088
2008-01-29,100593.06225767694
2008-01-30,100591.29232580354
2008-01-31,100923.3394903446
2008-02-01,100951.60044308226
2008-02-04,100605.11352999447
2008-02-05,99928.73503899078
2008-02-06,99912.9238263179
2008-02-07,99989.76946541558
2008-02-08,100274.12375353818
2008-02-11,100483.17802210203
2008-02-12,100212.42496242239
2008-02-13,100423.24694701092
2008-02-14,100205.44195660499
2008-02-15,100159.1671131498
2008-02-19,100547.75865886747
2008-02-20,100929.02246873762
2008-02-21,100862.68108650259
2008-02-22,100960.36020455233
2008-02-25,101050.4686391512
2008-02-26,101422.47476919673
2008-02-27,101592.17060273945
2008-02-28,101799.3155864345
2008-02-29,101531.32957123524
2008-03-03,101649.44252546283
2008-03-04,101186.57462033408
2008-03-05,101659.65142129283
2008-03-06,101138.40768634643
2008-03-07,100905.70005738837
2008-03-10,100797.49684376967
2008-03-11,101396.77016742382
2008-03-12,101641.06082661371
2008-03-13,101918.09072746488
2008-03-14,101773.28564541238
2008-03-17,101297.84344240116
2008-03-18,101886.17051133096
2008-03-19,100483.44761069183
2008-03-20,100305.50943248562
2008-03-24,100633.30525598461
2008-03-25,101410.44148252226
2008-03-26,101561.99813084392
2008-03-27,101360.99328427252
2008-03-28,100911.14391283723
2008-03-31,100655.61369728553
2008-04-01,100576.50481526079
2008-04-02,101204.48218760524
2008-04-03,101295.02869964691
2008-04-04,101660.19659287407
2008-04-07,101827.37600446891
2008-04-08,101544.97780095946
2008-04-09,101946.69156744878
2008-04-10,101891.72315115153
2008-04-11,101387.8548178972
2008-04-14,101287.1706356832
2008-04-15,101405.28125820492
2008-04-16,102368.86783277406
2008-04-17,102098.93512590283
2008-04-18,102047.30634645896
2008-04-21,102040.35913887281
2008-04-22,101976.83678284736
2008-04-23,101722.91205714984
2008-04-24,101257.2711399408
2008-04-25,101402.53653062187
2008-04-28,101618.55798328006
2008-04-29,101075.9096774948
2008-04-30,101164.69749575788
2008-05-01,101230.9509616969
2008-05-02,101413.34656333773
2008-05-05,101740.39789206689
2008-05-06,102083.54382104096
2008-05-07,101391.136185624
2008-05-08,101727.4603624498
2008-05-09,101736.3218541972
2008-05-12,102087.60183608433
2008-05-13,101826.16457969474
2008-05-14,101793.1564314541
2008-05-15,102700.3957500871
2008-05-16,103148.93086873741
2008-05-19,103141.75556501611
2008-05-20,103161.39903227406
2008-05-21,102642.56899926267
2008-05-22,102476.2198722349
2008-05-23,102140.51413133644
2008-05-27,102017.52173351802
2008-05-28,102091.21878162448
2008-05-29,101670.13154837614
2008-05-30,102007.64915150011
2008-06-02,101758.31490325862
2008-06-03,101399.93165220752
2008-06-04,101333.16057209157
2008-06-05,102044.06545005034
2008-06-06,101750.89501454771
2008-06-09,101364.36829254706
2008-06-10,100560.68315110457
2008-06-11,100204.30656083408
2008-06-12,100043.101248379
2008-06-13,100502.33204750379
2008-06-16,100892.93996200139
2008-06-17,100717.20929852121
2008-06-18,100650.50107592893
2008-06-19,100790.94578338499
2008-06-20,100463.77308699794
2008-06-23,99969.17508608254
2008-06-24,100028.47862350238
2008-06-25,100205.44639482397
2008-06-26,99950.09025800842
2008-06-27,100077.3280846313
2008-06-30,100079.78739770918
2008-07-01,100329.98048821437
2008-07-02,100086.7287595202
2008-07-03,99818.41294558774
2008-07-07,99350.32654227552
2008-07-08,99604.67687302256
2008-07-09,99302.99162906012
2008-07-10,100026.13611452474
2008-07-11,100042.31056290909
2008-07-14,100041.99476224517
2008-07-15,99621.83625987613
2008-07-16,99630.12487714535
2008-07-17,99594.0650479694
2008-07-18,99465.39697639874
2008-07-21,99796.86307683434
2008-07-22,99431.25378297787
2008-07-23,98898.55748883948
2008-07-24,98616.47271025098
2008-07-25,98662.96102575437
2008-07-28,98445.9947276594
2008-07-29,98549.6454614531
2008-07-30,98738.90332728587
2008-07-31,98686.4004367464
2008-08-01,98420.217958102
2008-08-04,97718.31332863885
2008-08-05,97792.37005055882
2008-08-06,98036.60051321055
2008-08-07,97684.66685113528
2008-08-08,97908.8366931531
2008-08-11,97574.66393107988
2008-08-12,97288.75517646995
2008-08-13,97174.23992214855
2008-08-14,97060.44669938745
2008-08-15,96991.74747546382
2008-08-18,96738.77363760206
2008-08-19,96641.44798938093
2008-08-20,96720.40500148592
2008-08-21,97009.27180883435
2008-08-22,97221.17392068295
2008-08-25,96641.37815240442
2008-08-26,96792.21896785768
2008-08-27,97158.20025287401
2008-08-28,97694.16369223467
2008-08-29,97193.90349562326
2008-09-02,96719.75389694795
2008-09-03,96697.08071259024
2008-09-04,95915.25440605651
2008-09-05,96159.83124025026
2008-09-08,96653.93453953469
2008-09-09,95663.5539987153
2008-09-10,95465.60761006929
2008-09-11,95546.11959417273
2008-09-12,95839.29946680271
2008-09-15,95435.51102840129
2008-09-16,95782.00639115536
